seconds;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12
0;31906;33127;31601;32617;8329;8905;8603;9377;1620;1709;1679;1625
837;30503;31315;31453;32689;8317;8877;8641;9285;1634;1711;1672;1632
1674,1;31362;31620;31833;33103;8395;8891;8646;9390;1658;1746;1696;1657
2511,1;30389;31923;32373;33269;8486;8975;8686;9476;1672;1764;1724;1681
3348,1;30886;32121;32430;33565;8405;9004;8781;9475;1701;1785;1744;1696
4185,1;31096;32158;32564;33431;8454;9006;8818;9515;1713;1798;1757;1713
5022,1;30445;32220;32575;33749;8458;9022;8786;9536;1713;1804;1769;1715
5859,2;30856;32315;32664;33639;8440;9037;8819;9475;1729;1822;1771;1730
6696,2;30571;32411;32589;33670;8528;9029;8829;9507;1733;1813;1785;1739
7533,2;30676;32357;32716;33760;8535;9014;8803;9462;1745;1836;1795;1749
8370,2;30796;32462;32938;33930;8547;8989;8778;9493;1756;1832;1796;1757
9207,2;31619;32670;32949;33980;8548;9060;8809;9495;1749;1844;1808;1771
10044,3;31049;32476;32748;33901;8480;8997;8678;9421;1756;1836;1803;1774
10881,3;30876;32795;33158;34113;8608;9004;8720;9452;1767;1864;1809;1781
11718,3;31024;32888;32959;34307;8547;9026;8716;9523;1782;1866;1825;1792
12555,3;31109;32847;33151;34285;8548;9029;8692;9481;1774;1867;1822;1807
13392,4;31121;32876;33289;34188;8545;9048;8666;9482;1779;1872;1835;1809
14229,4;31063;32839;33151;34220;8487;8994;8605;9434;1779;1865;1826;1811
15066,4;31089;32883;33133;34275;8487;8999;8599;9392;1785;1865;1831;1810
15903,4;31053;33007;33187;34243;8462;8990;8590;9407;1785;1870;1837;1813
16740,4;31039;33059;33148;34383;8469;9018;8620;9411;1791;1874;1839;1817
17577,5;30987;32835;33047;34241;8427;8988;8507;9360;1787;1877;1829;1818
18414,5;31281;32957;33007;34413;8435;8976;8518;9366;1788;1879;1840;1824
19251,5;31226;32809;33208;34466;8427;8963;8525;9343;1789;1875;1842;1817
20088,5;31145;32954;33115;34255;8409;8950;8506;9324;1785;1879;1837;1817
20925,5;31242;33065;33196;34471;8405;8990;8517;9313;1792;1879;1843;1822
21762,6;31344;33007;33307;34426;8408;8934;8482;9330;1793;1883;1848;1827
22599,6;31343;33020;33148;34383;8372;8915;8502;9316;1798;1886;1837;1831
23436,6;31509;33241;33613;34647;8395;8918;8535;9291;1801;1885;1840;1832
24273,6;31524;33242;33713;34745;8380;8983;8508;9338;1801;1890;1853;1845
25110,7;31698;33238;33844;35057;8413;8960;8527;9304;1810;1889;1844;1844
25947,7;31767;33427;34002;35010;8418;8947;8526;9299;1806;1899;1856;1849
26784,7;31524;33371;33995;34975;8379;8960;8477;9295;1800;1886;1862;1844
27621,7;31690;33409;33921;35038;8394;8917;8472;9272;1803;1891;1857;1855
28458,7;31803;33617;34061;35044;8395;8946;8503;9296;1809;1888;1865;1857
29295,7;31847;33509;33874;35030;8348;8849;8464;9251;1809;1901;1858;1852
30132,8;31694;33554;33789;34887;8312;8868;8368;9241;1806;1888;1841;1845
30969,8;31919;33605;34127;35214;8339;8871;8409;9204;1810;1896;1856;1856
31806,8;31892;33657;33830;35176;8328;8894;8435;9235;1806;1891;1846;1851
32643,8;31777;33286;33765;34986;8220;8789;8267;9149;1784;1870;1834;1846
33480,9;32045;33774;34221;35337;8292;8860;8406;9222;1806;1892;1855;1859
34317,9;32380;33924;34242;35472;8286;8862;8361;9217;1801;1894;1855;1860
35154,9;32422;33865;34206;35442;8275;8859;8385;9174;1801;1881;1853;1865
35991,9;32087;33732;34077;35022;8250;8776;8305;9129;1780;1879;1837;1844
36829;32162;33833;34231;35281;8245;8742;8290;9100;1802;1888;1841;1865
37666;32093;33779;34256;35454;8248;8711;8225;9130;1795;1889;1844;1862
38503;32579;33605;34228;35245;8182;8692;8211;9013;1781;1862;1839;1845
39340;32702;33942;34334;35404;8237;8662;8285;9036;1784;1863;1840;1855
40177;31868;33168;33698;34672;8007;8524;8052;8860;1753;1839;1802;1816
41014,1;31938;33116;33742;34893;8027;8496;8067;8874;1755;1834;1798;1819
41851,1;32036;33151;33847;34931;8014;8490;8066;8867;1761;1835;1801;1827
42688,1;31606;33119;33673;34783;7942;8452;8010;8826;1748;1830;1793;1811
43525,1;31698;33148;33908;34849;7956;8463;7995;8797;1740;1822;1794;1814
44362,1;31988;33274;33944;34894;7942;8393;7980;8776;1745;1831;1786;1815
45199,2;31873;33351;33927;35071;7919;8404;7968;8817;1740;1830;1792;1816
46036,2;32416;33896;34122;35132;7958;8410;8002;8785;1754;1833;1796;1819
46873,2;32584;33881;34333;35340;7965;8422;8043;8799;1752;1833;1801;1825
47710,2;32487;33767;34236;35343;7982;8400;8033;8809;1746;1839;1792;1834
48547,2;32451;33753;34491;35447;7955;8432;8018;8812;1752;1834;1796;1825
49384,3;32674;33931;34667;35602;7994;8416;8060;8812;1748;1843;1801;1839
50221,3;32502;33770;34388;35433;7955;8372;7995;8746;1751;1837;1793;1830
51058,3;32340;33919;34576;35629;7905;8399;7967;8761;1746;1832;1791;1819
51895,3;32387;33850;34596;35624;7940;8368;7952;8786;1745;1821;1781;1823
52732,4;32150;33881;34575;35407;7845;8326;7871;8702;1738;1812;1778;1816
53569,4;32077;33877;34533;35415;7900;8304;7921;8678;1739;1811;1783;1817
54406,4;32112;33971;34604;35487;7840;8296;7880;8671;1728;1803;1776;1813
55243,4;32012;34215;34532;35619;7810;8264;7866;8682;1726;1809;1772;1807